"รหัส","รายการ","หมวด","หน่วย","ปริมาณ","ราคาต่อหน่วย","เป็นเงิน"
"1","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.1","งานดำเนินการเพื่อการก่อสร้างงานหินถมป้องกันการกัดเซาะ","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.1.1","จัดทำท่าขึ้นลงสำหรับวัสดุก่อสร้าง (Steel Platform ขนาด 216 ตร.ม.)","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ตร.ม.","216","14583","3149928"
"1.1.2","จัดทำทางลำเลียงสำหรับสัญจรและขนส่งวัสดุก่อสร้างเพื่อก่อสร้าง Steel Platform","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ตร.ม.","650","3814","2479100"
"1.1.3","จัดหาและติดตั้งนั่งร้านสำหรับกองวัสดุ (Stock Pile) ในทะเล","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ตร.ม.","1068","14470","15453960"
"1.1.4","จัดหาและติดตั้งนั่งร้านตอกเสาเข็มขณะก่อสร้าง ในทะเล","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ตร.ม.","102800","1458","149882400"
"1.1.5","งานทางเชื่อมระหว่าง Steel Platform กับคันหินและระหว่างก่อสร้างคันหิน ในทะเล","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","แห่ง","40","515989","20639560"
"1.1.6","งานปรับปรุงร่องน้ำสำหรับเดินเรือบรรทุกในการขนส่งวัสดุขณะก่อสร้าง ในทะเล","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","เมตร","2500","2614","6535000"
"1.2","งานป้องกันคลื่นแรงกระแทกและแรงลมด้วยแผงกั้นเหล็ก ในทะเล","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","เมตร","190","76726","14577940"
"","งานหินถมคันหินป้องกันการกัดเซาะ","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.3","งานจัดหาและติดตั้ง เสาเข็ม คาน พื้น และเข็มพืดคอนกรีตอัดแรง","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.3.1","งานตอกเสาเข็ม คอร. ขนาด 0.35x0.35x20 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ต้น","15660","24566","384703560"
"1.3.2","งานคาน ค.ส.ล. ขนาด 0.30x0.50 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","เมตร","63133","1885","119005705"
"1.3.3","งานพื้น ค.ส.ล. S1 - S8 หนา 0.25 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ตร.ม.","84640","3113","263484320"
"1.3.4","งานเข็มพืดคอนกรีต ขนาด 0.53x0.15x5.00 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ต้น","11000","4823","53053000"
"1.4","งานจัดหาและติดตั้งหินถมคันหินป้องกันการกัดเซาะ","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.4.1","งานถมคันหินชั้นใน ขนาด 0.40 - 0.45 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ลบ.ม.","131490","1469","193158810"
"1.4.2","งานถมคันหินชั้นนอก ขนาด 0.85 - 0.90 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ลบ.ม.","35970","1380","49638600"
"1.5","งานจัดหาและติดตั้งขอบคอนกรีตและยึดเข็มพืด","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","เมตร","5600","6932","38819200"
"1.6","งานคอนกรีตยึดหัวเสาเข็มและพื้น ค.ส.ล.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.6.1","งานคอนกรีตยึดหัวเสาเข็ม (Non Shrink)","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ต้น","15660","1795","28109700"
"1.7","งานจัดหาและติดตั้งป้ายโครงการและป้ายสัญลักษณ์","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.7.1","งานป้ายรายละเอียดโครงการ","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","แห่ง","1","28042","28042"
"1.7.2","งานป้ายบริเวณหัวเขื่อนและท้ายเขื่อน","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","แห่ง","2","17947","35894"
"1.7.3","งานป้ายบริเวณกลางเขื่อน","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","แห่ง","1","12338","12338"
"1.8","งานจัดหาและติดตั้งหลักเขตกรุงเทพมหานคร","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","แห่ง","2","252385","504770"
"1.9","งานจัดหาและติดตั้งระบบป้องกันโครงสร้างสะพานคนเดินของสำนักงานเขตบางขุนเทียน ในทะเล","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","เมตร","245","1571","384895"
"1.1","งานเจาะสำรวจดินลึก 50 เมตร ตามแนวคันหินทุกระยะ 500 ม.","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","หลุม","11","53281","586091"
"","และที่ศูนย์สำรวจและเฝ้าระวังชายฝั่ง","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","","","",""
"1.11","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างคันหินวางบนฐานรากเสาเข็ม ความยาวประมาณ 20 เมตร คันหินความยาวประมาณ 5,175 เมตร","ต้น","50","31969","1598450"
"2","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.1","งานเตรียมการก่อสร้างศูนย์สำรวจบริเวณศูนย์สำรวจและเฝ้าระวังชายฝั่งทะเล","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ตร.ม.","5880","1234","7255920"
"2.2","งานรักษาและดูแลระบบนิเวศน์เดิมบริเวณศูนย์สำรวจและเฝ้าระวังชายฝั่งทะเล","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","- งานขุดและล้อมพันธุ์ไม้ที่ได้รับผลกระทบจากงานก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.2.1","งานเตรียมพื้นที่","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","9763","9763"
